#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F150W2 F322W2 F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M    Mact
 1   9.29  0.09  0.01286 -4.362 3.105  4.274  9.50  0.040 0.00 25.174 35.119 30.999 27.881 25.105 22.786 21.277 20.026 19.727 23.906 20.543 25.844 24.376 23.423 22.375 21.605 20.948 20.251 19.904 19.703 19.822 19.720 19.673  0.013 
 1   9.29  0.17  0.08305 -3.436 3.389  5.297  9.90  0.040 0.00 23.261 25.339 22.630 21.350 20.941 20.628 20.569 19.688 19.598 20.912 20.089 21.385 20.415 20.827 20.394 20.634 20.447 19.873 19.571 19.480 19.594 19.742 19.695  0.083 
 1   9.29  0.23  0.27336 -2.000 3.546  5.004 12.70  0.040 0.00 22.471 22.610 21.482 20.847 20.300 19.981 19.942 19.630 19.552 20.360 19.792 20.443 20.082 20.030 19.919 19.984 19.917 19.704 19.579 19.497 19.520 19.613 19.602  0.273 
 1   9.31 -0.11  0.05387 -4.598 3.131  5.238  9.60  0.040 0.83 25.275 34.418 30.518 27.567 24.902 22.702 21.448 20.173 19.841 23.829 20.694 25.623 24.189 23.330 22.287 21.768 21.075 20.512 20.040 19.765 19.915 19.918 19.846  0.054 
 1   9.31 -0.03  0.04191 -4.758 3.080  5.086  9.20  0.040 0.00 25.865 36.739 32.319 28.977 25.994 23.528 22.079 20.737 20.315 24.680 21.273 26.810 25.223 24.235 23.082 22.463 21.661 21.192 20.585 20.245 20.459 20.361 20.316  0.042 
 1   9.31  0.09  0.49876 -1.393 3.593  4.848  8.50  0.039 0.00 16.754 16.631 15.781 15.222 14.614 14.326 14.359 14.139 14.102 14.707 14.256 14.786 14.378 14.352 14.289 14.385 14.352 14.198 14.096 14.043 14.080 14.176 14.161  0.499 
 1   9.31  0.13  0.04824 -4.718 3.098  5.176  9.30  0.040 0.00 25.864 35.981 31.768 28.589 25.748 23.404 22.054 20.739 20.365 24.544 21.270 26.520 25.004 24.074 22.971 22.404 21.659 21.130 20.602 20.290 20.453 20.443 20.367  0.048 
 1   9.31  0.13  0.15012 -2.595 3.493  5.126 12.90  0.040 0.97 23.457 24.037 22.501 21.714 21.222 20.921 20.840 20.375 20.268 21.259 20.608 21.408 20.944 21.002 20.821 20.875 20.800 20.486 20.303 20.203 20.238 20.344 20.322  0.150 
 1   9.31  0.27  0.02097 -5.137 2.957  4.672  6.10  0.028 0.00 23.713 41.848 35.301 30.315 25.921 22.425 20.294 18.795 17.778 23.669 19.352 27.213 24.966 23.514 21.847 21.101 19.677 19.695 18.658 17.835 17.949 17.694 17.629  0.021 
 1   9.33 -0.21  0.17915 -2.348 3.533  5.119 12.90  0.040 0.00 23.539 23.713 22.563 21.906 21.360 21.051 20.981 20.650 20.559 21.422 20.821 21.509 21.136 21.108 20.982 21.022 20.950 20.732 20.594 20.509 20.533 20.619 20.598  0.179 
 1   9.33 -0.17  0.05789 -4.506 3.156  5.277  7.40  0.036 0.00 23.434 31.038 27.497 24.853 22.476 20.586 19.567 18.419 18.196 21.677 18.907 23.118 21.817 21.118 20.210 19.820 19.257 18.642 18.300 18.120 18.222 18.280 18.209  0.058 
