#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   F560W  F770W  F1000W F1130W F1280W F1500W F1800W F2100W F2550W   Mact
 1   9.15  0.01  0.39572 -1.635 3.576  4.919 12.60  0.040 0.00 21.457 18.724 18.726 18.652 18.643 18.623 18.605 18.567 18.541 18.297  0.396 
 1   9.15  0.09  0.02727 -5.118 2.974  4.834 13.40  0.040 0.00 30.965 24.928 24.910 24.802 24.456 24.200 24.126 24.155 23.986 23.451  0.027 
 1   9.15  0.11  0.22484 -2.154 3.540  5.050  8.20  0.038 0.00 18.355 15.420 15.419 15.327 15.333 15.303 15.292 15.231 15.205 14.626  0.225 
 1   9.15  0.11  0.02543 -5.124 2.969  4.790  9.60  0.040 0.00 27.179 21.124 21.109 21.004 20.655 20.393 20.315 20.348 20.195 19.712  0.025 
 1   9.15  0.13  0.01022 -4.906 2.979  4.213  9.80  0.040 0.00 26.834 20.739 20.684 20.662 20.348 20.103 20.022 20.045 19.950 19.624  0.010 
 1   9.17 -0.13  0.21410 -2.160 3.551  5.078  8.70  0.039 0.83 18.347 15.417 15.412 15.325 15.332 15.301 15.283 15.236 15.214 14.778  0.214 
 1   9.17 -0.09  0.02912 -5.113 2.979  4.877 11.60  0.040 0.00 29.152 23.132 23.110 23.000 22.658 22.408 22.336 22.362 22.179 21.598  0.029 
 1   9.17 -0.07  0.01353 -4.417 3.095  4.315 10.10  0.040 0.00 25.913 20.227 20.064 20.218 19.998 19.806 19.766 19.791 19.721 19.402  0.014 
 1   9.17 -0.05  0.04596 -4.659 3.108  5.137  9.40  0.040 0.00 25.818 20.260 20.126 20.175 19.950 19.760 19.727 19.759 19.666 19.246  0.046 
 1   9.17 -0.03  0.08269 -3.468 3.388  5.320  9.90  0.040 0.92 22.828 19.102 18.989 18.701 18.648 18.644 18.578 18.473 18.538 18.046  0.083 
 1   9.17  0.01  0.09586 -3.150 3.438  5.265  5.30  0.023 0.00 17.944 14.569 14.526 14.281 14.266 14.234 14.212 14.106 14.170 13.678  0.096 
 1   9.17  0.07  0.08457 -3.406 3.396  5.302  8.10  0.038 0.00 21.385 17.830 17.744 17.452 17.416 17.400 17.350 17.237 17.314 16.831  0.085 
 1   9.17  0.13  0.22484 -2.156 3.539  5.049  7.50  0.036 0.00 17.661 14.721 14.720 14.627 14.633 14.603 14.591 14.530 14.504 13.926  0.225 
 1   9.17  0.19  0.23178 -2.138 3.538  5.037  8.00  0.038 0.83 17.551 14.582 14.580 14.479 14.483 14.453 14.440 14.376 14.353 13.778  0.232 
 1   9.19 -0.27  0.20829 -2.159 3.557  5.091  7.40  0.036 0.00 17.567 14.722 14.716 14.644 14.647 14.618 14.596 14.565 14.544 14.302  0.208 
 1   9.19  0.13  0.07158 -3.872 3.305  5.332 10.60  0.040 0.00 25.049 20.841 20.682 20.429 20.350 20.357 20.274 20.189 20.204 19.680  0.072 
 1   9.19  0.15  0.29510 -1.929 3.553  4.993  9.00  0.039 0.00 18.591 15.717 15.717 15.638 15.645 15.616 15.605 15.550 15.520 14.968  0.295 
 1   9.21 -0.39  0.01933 -4.985 2.986  4.584  7.60  0.036 0.97 24.170 18.116 18.092 18.018 17.687 17.433 17.358 17.387 17.263 16.842  0.019 
 1   9.21 -0.29  0.65062 -0.912 3.654  4.723 12.70  0.040 0.00 19.749 17.508 17.468 17.457 17.453 17.452 17.448 17.440 17.436 17.433  0.651 
 1   9.21 -0.15  0.02616 -5.122 2.971  4.808  8.30  0.038 0.00 25.874 19.826 19.809 19.703 19.355 19.096 19.019 19.050 18.891 18.386  0.026 
 1   9.21 -0.07  0.59224 -1.132 3.622  4.778  9.20  0.040 0.00 16.799 14.359 14.338 14.304 14.294 14.289 14.279 14.265 14.256 14.250  0.592 
 1   9.21 -0.07  0.02288 -5.131 2.962  4.724  9.80  0.040 0.00 27.398 21.319 21.309 21.207 20.854 20.582 20.500 20.539 20.414 20.021  0.023 
 1   9.21  0.11  0.03976 -4.778 3.073  5.053  7.00  0.034 0.00 23.716 18.006 17.904 17.916 17.666 17.454 17.409 17.459 17.429 17.297  0.040 
 1   9.21  0.13  0.01240 -4.324 3.111  4.246  8.50  0.039 0.00 24.079 18.479 18.324 18.448 18.236 18.055 18.022 18.037 17.926 17.432  0.012 
 1   9.21  0.25  1.16099  0.205 3.778  4.356  9.70  0.040 0.00 13.956 12.599 12.581 12.579 12.579 12.580 12.580 12.577 12.576 12.577  1.161 
 1   9.21  0.27  1.03856 -0.059 3.750  4.459  9.30  0.040 0.00 14.217 12.662 12.631 12.628 12.627 12.629 12.629 12.625 12.624 12.625  1.039 
 1   9.23 -0.33  0.04474 -4.705 3.096  5.124  8.20  0.038 0.00 24.731 19.120 18.997 19.035 18.803 18.606 18.570 18.605 18.526 18.168  0.045 
 1   9.23 -0.25  0.43457 -1.498 3.597  4.907 10.20  0.040 0.00 18.716 16.138 16.148 16.085 16.071 16.059 16.040 16.015 16.000 15.972  0.435 
 1   9.23 -0.21  0.11535 -2.863 3.479  5.224 13.30  0.040 0.00 25.228 22.013 21.988 21.821 21.821 21.778 21.748 21.695 21.705 21.376  0.115 
