# RA DEC F1500W_MAG_KRON F1500W_MAG_CIRC3 F1500W_MAG_CIRC4 F1500W_MAG_CIRC5 F2100W_MAG_KRON F2100W_MAG_CIRC3 F2100W_MAG_CIRC4 F2100W_MAG_CIRC5
53.10988 -27.87020 17.34730 17.63429 17.60368 17.51650 15.77056 15.93503 15.93440 15.90745
53.10841 -27.87024 19.31686 19.66244 20.12578 20.64767 16.54076 16.87215 17.22602 17.48670
53.13784 -27.87012 14.88261 14.97160 14.96922 14.94193 13.37477 13.47408 13.47760 13.45232
53.12501 -27.87008 19.63359 19.66545 19.39539 19.20829 19.08652 19.42594   nan   nan
53.10152 -27.86996 15.23902 15.32581 15.32956 15.30553 13.62294 13.66260 13.68621 13.66563
53.11332 -27.86995 16.63865 16.87666 16.87149 16.81641 17.27022 16.57622 16.84114 17.00956
53.10620 -27.86995 17.84719 18.01308 17.94242 17.88973 16.39995 16.30298 16.32759 16.31175
53.10581 -27.86986 17.57507 17.93146 17.89340 17.77897 16.15881 16.38177 16.27767 16.21474
53.10745 -27.86934 18.72752 19.31192 19.10125 18.89980 17.44205   nan 18.66733 18.23061
53.10958 -27.86929 21.44935 21.41421 22.56642 22.87422 18.36580 18.26411 18.55533 18.03688
53.10644 -27.86926 14.32538 15.02068 14.95732 14.86080 14.10769 14.65584 14.62583 14.57335
53.11109 -27.86920 18.83233 19.13466 19.02851 18.94916 16.29149 16.16105 16.24342 16.27761
53.10415 -27.86912 14.87601 15.19199 15.17688 15.12900 14.68835 14.72627 14.75736 14.74231
53.12781 -27.86910 18.21147 18.03120 18.09271 18.15113 16.92745 16.61396 16.58325 16.56998
53.10880 -27.86904 16.62166 16.90475 16.89063 16.84357 15.70774 16.10912 15.95888 15.82769
53.15312 -27.86863 13.58795 14.35872 14.29280 14.19331 12.96409 13.48212 13.46838 13.41636
53.11479 -27.86861 18.72768 18.83381 18.95272 18.86002   nan   nan   nan   nan
53.14973 -27.86855   nan   nan   nan   nan   nan   nan   nan   nan
