#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F150W2 F322W2 F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M    Mact
 1   9.31  0.13  1.18967  0.303 3.788  4.310  9.70  0.040 0.00 13.714 13.261 13.023 12.808 12.505 12.414 12.395 12.392 12.401 12.589 12.394 12.563 12.430 12.419 12.408 12.402 12.393 12.393 12.392 12.390 12.395 12.413 12.410  1.190 
 1   9.31  0.19  4.11268 -3.376 3.920  8.352  9.10  0.039 0.00 22.311 22.166 22.128 22.064 21.982 21.980 21.973 21.975 21.976 22.014 21.974 21.992 21.975 21.988 21.973 21.968 21.975 21.975 21.975 21.976 21.974 21.979 21.977  0.814 
 1   9.31  0.19  0.06176 -4.352 3.194  5.302  9.40  0.040 0.00 25.050 31.179 28.015 25.629 23.561 22.033 21.212 20.206 20.024 23.048 20.649 24.175 22.919 22.472 21.698 21.415 20.968 20.380 20.103 19.958 20.026 20.109 20.031  0.062 
 1   9.31  0.23  0.43478 -1.555 3.576  4.883  6.90  0.033 0.00 15.558 15.584 14.551 13.947 13.382 13.097 13.122 12.845 12.777 13.461 12.989 13.546 13.148 13.132 13.049 13.151 13.109 12.921 12.793 12.719 12.754 12.844 12.837  0.435 
 1   9.33 -0.35  0.34744 -1.716 3.588  4.995 10.80  0.040 0.00 19.860 19.659 18.882 18.343 17.775 17.495 17.502 17.255 17.191 17.860 17.385 17.933 17.555 17.529 17.450 17.525 17.494 17.322 17.207 17.142 17.171 17.252 17.240  0.347 
 1   9.33 -0.29  0.35656 -1.700 3.586  4.982 13.10  0.040 0.74 21.640 21.492 20.655 20.099 19.537 19.253 19.252 18.991 18.921 19.617 19.128 19.693 19.316 19.290 19.205 19.280 19.240 19.062 18.941 18.871 18.899 18.980 18.969  0.357 
 1   9.33 -0.21  1.39563  0.800 3.829  4.047 13.30  0.040 0.72 15.915 15.549 15.355 15.178 14.928 14.858 14.841 14.839 14.838 15.001 14.840 14.974 14.870 14.863 14.853 14.845 14.841 14.839 14.838 14.835 14.836 14.838 14.840  1.396 
 1   9.33 -0.15  0.05778 -4.509 3.155  5.276 10.20  0.040 0.84 25.735 33.825 30.225 27.508 25.039 23.025 21.891 20.677 20.385 24.132 21.183 25.710 24.360 23.599 22.631 22.182 21.547 20.972 20.549 20.309 20.441 20.464 20.393  0.058 
 1   9.33 -0.09  0.17439 -2.399 3.523  5.117  7.90  0.037 0.00 18.666 18.942 17.684 16.998 16.470 16.168 16.101 15.733 15.635 16.526 15.922 16.625 16.234 16.229 16.093 16.138 16.071 15.825 15.672 15.581 15.607 15.699 15.681  0.174 
 1   9.33 -0.05  0.10359 -3.016 3.457  5.243 13.00  0.040 0.00 25.311 26.266 24.405 23.490 23.024 22.728 22.670 22.066 21.966 23.046 22.360 23.265 22.683 22.838 22.592 22.706 22.608 22.200 21.977 21.880 21.939 22.070 22.036  0.104 
