SMILES_ID RA Dec FWHM_F560W FWHM_F1500W FWHM_F2100W F1500W F2100W F1500W-F2100W
164.0 53.08538 -27.86227 0.8164369232520235 1.2841488532419514 1.7263835759957886 15.15889 13.89498 1.2639099999999992
166.0 53.09748 -27.86181 0.8187484927165208 1.1953521578415398 1.4553923899498091 15.45041 15.01307 0.43733999999999895
167.0 53.08633 -27.86179 1.9280903069440172 2.3041540253411465 2.4711347535966497 12.017 10.79449 1.2225099999999998
168.0 53.14404 -27.86169 0.607112499678033 0.21375991620085663 0.48287075653175704 19.49417 17.2635 2.23067
169.0 53.13457 -27.86144 0.964413703531503 1.4633632222821618 0.47727787325572163 18.08313 16.52336 1.5597700000000003
170.0 53.13546 -27.86141 0.6480158880185103 1.0697848104544208 1.4093569947284503 14.1053 13.76426 0.34103999999999957
172.0 53.12681 -27.86129 0.9461794223589566 1.4088475990133393 1.7252402694770512 13.91564 13.12194 0.7936999999999994
178.0 53.10265 -27.86068 0.6267705546294491 1.032399365570247 1.2711071139312666 15.95495 14.39789 1.5570599999999999
180.0 53.08334 -27.86051 0.7275193387327777 0.6771758851831496 1.2730399645002612 19.53967 15.90367 3.636000000000001
181.0 53.131 -27.86047 0.7748741136490238 1.5135716628426874 1.6821004001763409 14.68449 13.39401 1.2904800000000005
182.0 53.10394 -27.8605 0.6746936401689194 0.3059814809957927 1.395398158563674 18.34669 15.41177 2.934919999999998
183.0 53.12477 -27.86043 0.7153940083197041 1.1112961351573913 0.5231296695555062 17.04323 17.30006 -0.2568299999999972
184.0 53.08391 -27.86044 1.0038727545966009 1.293541898443395 1.6672916778300544 16.16409 13.27055 2.8935400000000016
187.0 53.08213 -27.85987 0.6500413749953066 1.132351290828192 1.380111856609588 17.42775 15.85635 1.5713999999999988
188.0 53.10466 -27.8598 0.5492073047230088 0.9904047828692355 0.23687459524020169 17.89181 17.9891 -0.09729000000000099
189.0 53.12876 -27.85978 0.8729058391520239 1.0390007381137683 1.3596780100729406 17.07575 15.2529 1.822849999999999
191.0 53.10065 -27.85954 1.025557795729562 1.1842552824307973 1.3886355238944545 16.98172 15.7631 1.2186199999999996
192.0 53.12249 -27.85955 0.5933897864699971 0.9042768051425684 1.1989703177990512 17.0081 15.55426 1.4538399999999996
193.0 53.12844 -27.85945 0.8966504731974368 1.0381454735746547 1.3708235189964426 15.23139 13.17794 2.0534499999999998
196.0 53.08979 -27.85932 0.7284803163619163 1.2631351258648753 1.5946017097359486 16.11081 15.56334 0.5474700000000006
203.0 53.13209 -27.85889 0.6757549769396971 1.1022634450423079 1.160160846754331 17.79053 16.38332 1.4072099999999992
