JADES_ID RA Dec FWHM_F200W FWHM_F356W FWHM_F444W F200W F356W F444W F200W-F444W
188.0 53.11506 -27.91491 0.22907283328937847 0.5838262040783264 0.6307990521299506 24.42222 23.22641 22.75881 1.663409999999999
190.0 53.11856 -27.91486 0.24208638302235874 0.5914333583841963 0.6225531096456045 23.88198 22.79583 22.51368 1.3682999999999979
196.0 53.10416 -27.91476 0.29075048900199396 1.4578614838131958 1.6819828759804953 25.6153 24.47756 24.3593 1.2560000000000002
197.0 53.11389 -27.91477 0.2551953399450011 0.5841446308719426 0.6088445182504488 24.87501 24.01821 24.04137 0.833639999999999
200.0 53.07149 -27.91471 0.1363339231978801 0.3913198428487408 0.4205232555202944 25.08129 24.11757 23.68703 1.3942599999999992
201.0 53.10938 -27.9147 0.18619902195987778 0.4576563044409017 0.4817220251104114 25.23256 24.71757 24.12599 1.1065699999999978
202.0 53.10217 -27.91469 0.20937151465172174 0.3844136493103895 0.4770085180417737 26.90099 25.56102 25.19431 1.7066799999999986
206.0 53.07058 -27.91463 0.16044626507631485 0.48881317452302797 0.5579269665719934 25.90751 24.96226 24.8117 1.0958100000000002
216.0 53.11448 -27.9144 0.15405681693406342 0.44497941992364964 0.44636994598600377 26.62235 25.64742 25.18629 1.4360600000000012
218.0 53.10004 -27.91428 0.1833503405560549 0.4910576491993807 0.515452183192745 23.66166 22.42696 22.25486 1.4068000000000005
219.0 53.10048 -27.91433 0.09734750073990282 0.3721008465438035 0.4215825995261544 25.51741 25.35658 24.69686 0.8205500000000008
222.0 53.07125 -27.91421 0.14195189328460872 0.39550898631083803 0.4202796482304291 24.26373 23.15388 23.1685 1.0952299999999973
223.0 53.07062 -27.91424 0.18993822995096368 0.47294658471903583 0.4856259386535186 26.12373 24.93558 24.4039 1.7198299999999982
228.0 53.12157 -27.91418 0.20035679218617025 0.45711151645555936 0.9595105982679139 25.52219 25.10392 24.81145 0.7107399999999977
229.0 53.11652 -27.91419 0.10310302386582312 0.31623172698651225 0.39047203005016684 26.66962 25.34843 24.86395 1.8056699999999992
231.0 53.0692 -27.91417 0.22796414399023668 0.6304978027084943 0.4221889580730601 26.63068 25.63058 25.09356 1.5371200000000016
234.0 53.11279 -27.91407 0.14787970064293082 0.4087284652520813 0.42112303419882247 25.19442 23.9286 23.56952 1.6249000000000002
235.0 53.10656 -27.91392 0.374446970292719 0.8781180950562459 0.8845008271805199 23.17625 22.81582 22.67952 0.49672999999999945
236.0 53.11759 -27.91403 0.1293525783905858 0.42257841347335084 0.47092416217438177 24.69501 23.80466 23.43992 1.2550899999999992
237.0 53.06831 -27.91402 0.204137679960296 0.5225252027539177 0.4823385762630463 25.76822 24.29371 24.15344 1.6147799999999997
243.0 53.06728 -27.91399 0.10825377117090391 0.5641025497655204 0.3918315294334005 26.9852 25.43222 25.20285 1.7823499999999974
245.0 53.12241 -27.91393 0.2343139541089203 0.5469403306968829 0.8739096137029264 25.42167 24.42489 24.18236 1.2393099999999997
248.0 53.11908 -27.91386 0.219741409552325 0.5820305455754038 0.6170814804209422 24.86451 23.67132 23.16981 1.694700000000001
251.0 53.10928 -27.91374 0.21329794183129092 0.5233305770642531 0.6083998679778091 24.95483 23.87258 23.67083 1.2840000000000025
253.0 53.06933 -27.91376 0.23955371046283816 0.48829013208939026 0.5658203155369644 26.27196 24.64079 24.8893 1.3826600000000013
255.0 53.12141 -27.91374 0.18426345778903627 1.3600274274304616 0.6692733363457134 26.54198 25.20692 24.80935 1.7326300000000003
257.0 53.10094 -27.91364 0.20734735797285322 0.4956024973694959 0.5679751612630405 26.61742 25.22075 24.75796 1.8594599999999986
259.0 53.10154 -27.9136 0.0966584794678736 0.3385301129887314 0.3618455528251786 26.40146 24.78751 24.85939 1.542069999999999
262.0 53.11304 -27.91347 0.12314183052917711 0.38985350411926395 0.5096686012441508 25.81286 24.80754 24.83776 0.9751000000000012
263.0 53.10105 -27.91347 0.20684458880892428 0.4884612382749648 0.6162641111808392 25.14811 24.39759 24.24046 0.9076500000000003
264.0 53.07237 -27.91345 0.20632866109536177 0.5305664252790802 0.5249254088226641 25.66291 24.40861 24.55561 1.1072999999999986
273.0 53.09946 -27.91323 0.19728825977587824 0.4705141315623917 0.9704492013180024 26.84294 25.65879 25.21972 1.6232199999999999
274.0 53.11657 -27.91321 0.21164042266190145 0.6651261728127925 0.5611714457050957 26.33134 25.38436 24.96988 1.361460000000001
283.0 53.10372 -27.91311 0.13184485648609692 0.38723873244877466 0.4901990784640839 26.34583 25.07144 24.63885 1.706979999999998
286.0 53.10605 -27.91305 0.14364378632025016 0.41217750200037573 0.4377090565301155 27.30588 25.59529 25.02237 2.2835099999999997
295.0 53.10033 -27.91287 0.14193189110156115 0.4094748056446775 0.42732864183440594 24.43804 23.18995 22.92236 1.5156799999999997
296.0 53.09809 -27.91288 0.4906669162137217 0.4352633490024917 0.8310950557507325 26.82238 26.22778 25.25002 1.5723599999999998
300.0 53.12387 -27.9128 0.1805309730804278 0.47496630519288396 0.5423277296060512 26.22287 25.0825 24.81416 1.4087099999999992
303.0 53.1191 -27.91271 0.18884269656305502 0.5293438748626338 0.48735067540369126 25.85372 25.09663 24.85521 0.9985099999999996
304.0 53.10404 -27.91265 0.19013403853952113 0.5085259889211567 0.5180216893355516 24.9137 23.75142 23.6711 1.2425999999999995
306.0 53.117 -27.91266 0.158525173587552 0.45713041430308227 0.5478991045275089 25.51085 25.03172 25.12089 0.3899600000000021
308.0 53.0705 -27.9126 0.15216844566540888 0.42605754476269037 0.4290756167816193 25.9543 25.02439 24.76275 1.1915499999999994
311.0 53.10581 -27.9126 0.14760998326124497 0.5421353001995157 0.8068511512441601 27.18788 25.90716 24.99151 2.196369999999998
312.0 53.11669 -27.91246 0.237112352162197 0.5933033014661369 0.7047252573563677 25.1838 23.91182 23.37782 1.8059800000000017
318.0 53.11754 -27.91243 0.12284145375518893 0.35494490587215144 0.47338895725328173 25.62624 25.1886 24.31805 1.3081899999999997
319.0 53.12074 -27.91242 0.15471931648322662 0.4616136142327123 0.45018513340644134 25.61558 24.61513 24.51359 1.1019900000000007
320.0 53.07042 -27.91239 0.2002357870073176 0.4339760271135407 0.4519692017091506 26.05566 24.74334 24.58759 1.4680700000000009
322.0 53.06674 -27.91219 0.3922889154653384 0.8328950206652772 0.868219862431985 23.07389 21.86739 21.43367 1.6402199999999993
323.0 53.12307 -27.91236 0.09852753692182385 0.46470293622211895 0.5964548161909073 26.01688 25.25904 24.62314 1.393740000000001
329.0 53.09862 -27.91227 0.1559785128036005 0.4656221993259351 0.4434938186338446 25.16958 24.16357 23.84279 1.326789999999999
338.0 53.12359 -27.91212 0.13897948114141237 0.38345841615792214 0.3398189585198071 25.8582 25.1717 25.02939 0.8288100000000007
340.0 53.10676 -27.91205 0.3002140431670999 1.067929299357007 1.0289055444177562 25.68216 24.72733 24.40466 1.2774999999999999
350.0 53.12016 -27.91183 0.3145304547161377 0.7449653402705939 0.7526559463917933 24.31872 23.32482 23.20909 1.1096299999999992
352.0 53.0701 -27.9118 0.14333369868062323 0.4423229790046105 0.4996605650843585 24.97256 23.68573 23.12157 1.850990000000003
357.0 53.11499 -27.9118 0.19802177797213333 0.5324946654218339 0.53572221480164 25.48495 24.13992 23.84863 1.6363200000000013
358.0 53.11922 -27.9118 0.22801747732116043 0.5321662490305006 0.5398278595348217 26.1459 25.2368 24.83426 1.3116400000000006
359.0 53.11847 -27.91177 0.21907066661776853 0.5045189090235639 0.6144709454712979 26.42395 25.08332 24.49351 1.9304400000000008
363.0 53.12113 -27.91169 0.3191743406124204 0.7371634158292477 0.8317156155739392 24.94621 23.84826 23.41136 1.5348500000000023
365.0 53.06695 -27.91173 0.16492242592671774 0.43986620688646294 0.4458788230272163 26.77175 25.39598 25.09505 1.6767000000000003
369.0 53.10847 -27.91169 0.19861719542567471 0.6407335080909952 0.8543114499360976 26.81946 25.40064 24.97737 1.842089999999999
370.0 53.12463 -27.91172 0.15544758913804074 0.5943079752716041 0.6802398169564952 27.3155 25.95623 24.93932 2.3761800000000015
371.0 53.12216 -27.91165 0.198010818145622 0.4763408011007431 0.549346903432152 24.3948 23.97621 23.35147 1.043330000000001
373.0 53.06452 -27.91165 0.237714678760267 0.610652235272315 0.7237009922770826 25.65366 24.7621 24.34223 1.3114299999999979
376.0 53.07424 -27.9116 0.08364176808086958 0.3484974369564466 0.41026717537282226 24.74629 23.43466 23.36337 1.3829199999999986
377.0 53.10764 -27.91163 0.1516171031584946 0.47315539477732516 0.5247519405485428 24.61422 24.06704 23.70905 0.9051699999999983
378.0 53.1198 -27.91164 0.19251393018073643 0.4630506025386885 0.6237393532875644 25.79742 24.8537 24.70976 1.0876599999999996
383.0 53.11428 -27.91159 0.18380147784513448 0.5000883502288158 0.5291989962027688 26.12674 24.31079 24.04865 2.078090000000003
384.0 53.07021 -27.91161 0.14249912299433581 0.4400412180739718 0.4934427666878967 25.64766 25.19898 24.80594 0.8417199999999987
387.0 53.11392 -27.91158 0.16540905573330333 0.48553057242633085 0.5510622630551388 26.20201 24.59864 24.46301 1.7390000000000008
390.0 53.11643 -27.91147 0.16438497739778246 0.45708362454816376 0.4839792180126201 24.76728 23.64871 23.21853 1.5487499999999983
397.0 53.12226 -27.91139 0.25866212260045873 0.6557956103890377 0.6967730490815037 25.38383 24.30234 23.80061 1.5832200000000007
401.0 53.11177 -27.91141 0.20186832212124062 0.6427631960969211 0.5141069744278812 25.7216 24.58752 24.2334 1.488199999999999
402.0 53.06572 -27.91136 0.12476446249354078 0.39728989843671525 0.4268370712754811 23.35546 22.35828 21.97186 1.3836000000000013
405.0 53.07236 -27.91135 0.15669970983255008 0.41860079255295995 0.4331674985500179 24.77319 23.72621 23.66454 1.1086500000000008
406.0 53.11696 -27.91134 0.3130620975155175 0.6716669203711542 0.9349050092406849 25.78123 24.8456 24.37352 1.4077100000000016
408.0 53.10882 -27.91131 0.10083279724925451 0.3915487958406133 0.39335365295533775 26.02977 24.54488 24.22123 1.8085400000000007
416.0 53.07172 -27.91116 0.14148794188469288 0.45180951916424683 1.0636494141490649 27.33076 26.08324 25.25502 2.0757400000000032
423.0 53.07204 -27.91106 0.17625781371067573 0.4780222971387284 0.4809998993582133 25.06403 24.04549 24.04803 1.0159999999999982
427.0 53.0647 -27.91106 0.16927549489598231 0.46803148422430196 0.5062773285351333 26.95801 25.76924 25.17884 1.7791700000000006
435.0 53.06802 -27.91101 0.09423252915167822 0.3189021406912721 0.36534374191606145 24.7767 24.0858 23.79221 0.984490000000001
437.0 53.09749 -27.91103 0.18123937954300334 0.41079288455850166 0.5741143653996896 26.04509 25.48811 25.14851 0.8965799999999966
439.0 53.10964 -27.91099 0.21173785815452015 0.5537038382931319 1.0095905676964163 27.16769 26.20728 25.09393 2.07376
440.0 53.09811 -27.91093 0.2657734976389504 0.6912672679273245 0.6472071673162766 25.41883 24.28606 24.08379 1.3350399999999993
444.0 53.06324 -27.91094 0.22454891068453728 0.5609855499083157 0.6950233230177485 25.40767 24.34934 24.05987 1.3477999999999994
445.0 53.11194 -27.9109 0.22108732977219972 0.5917584560914755 0.7572440961710909 25.82235 24.81907 24.17934 1.6430100000000003
446.0 53.10394 -27.91086 0.15355950793306822 0.5944477319914097 0.5577660271438715 24.85946 24.37593 23.99245 0.867009999999997
450.0 53.11853 -27.91078 0.9548566058856922 2.203345252833598 3.0165480266780307 26.87377 25.03589 24.67802 2.1957500000000003
451.0 53.07266 -27.91084 0.11682124156193101 0.38016879206085663 0.4068956834027025 26.17869 25.19551 24.7604 1.418289999999999
453.0 53.06756 -27.91078 0.37937949928162057 0.8591756527424772 0.7969193320327757 25.01811 24.4823 24.26482 0.7532899999999998
454.0 53.03536 -27.91071 0.14848046806128773 0.43658530150512825 0.5007701599235509 25.88068 24.96384 24.54726 1.3334200000000003
455.0 53.03846 -27.91067 0.3712516517585868 0.42281498422323377 0.467471669432827 24.14154 23.99354 23.55011 0.591429999999999
462.0 53.1007 -27.91074 0.1444024837693822 0.42233997130971646 0.42578391731423804 24.88525 24.29661 24.31683 0.5684199999999997
464.0 53.11729 -27.91072 0.1436744270186453 0.47042018973826116 0.4396296153838635 25.79495 24.79848 24.297 1.4979499999999994
467.0 53.06876 -27.9107 0.10817393988744513 0.37158201596366175 0.3705815020079707 26.57891 25.43667 25.17846 1.4004499999999993
473.0 53.10767 -27.91055 0.31036895231090783 0.7716371470610143 0.7601697551607809 24.55795 23.37386 22.95754 1.60041
475.0 53.12562 -27.91057 0.17702317214367544 0.5402644882763923 0.6191224021934368 25.40126 23.52717 23.1039 2.297360000000001
476.0 53.07523 -27.91059 0.18145773006046817 0.4246474730704406 0.3935714567699323 25.12552 24.53183 24.35597 0.7695500000000024
477.0 53.06821 -27.91037 0.5082716547482551 1.031945178215375 1.0478202177996745 22.8837 21.56985 21.0165 1.8672000000000004
478.0 53.03685 -27.91055 0.22251500894058865 0.547795174761311 0.5337467782538288 25.55501 24.66089 24.64428 0.9107300000000009
479.0 53.12518 -27.91055 0.21817327145911444 0.5232535942856744 0.5424084862277379 24.72376 23.64136 23.18923 1.5345300000000002
486.0 53.12328 -27.91046 0.18996777309674742 0.4611172860535386 0.501005577780974 25.1836 24.00941 23.65186 1.5317399999999992
487.0 53.09809 -27.91049 0.046560746893118975 0.5276326542319155 0.5488530570063302 26.54449 25.19402 24.88416 1.6603299999999983
488.0 53.09998 -27.9104 0.12508249132660954 0.4175821230717591 0.4412963321176222 23.81305 23.01122 22.62965 1.183399999999999
496.0 53.12267 -27.91041 0.0832479257238628 0.2765463211283179 0.35616124807974764 27.03204 26.42346 25.18195 1.850089999999998
497.0 53.12376 -27.91036 0.25770164274815655 0.6136262883698009 0.6453925488159927 25.66799 24.63561 24.43122 1.23677
498.0 53.03769 -27.91034 0.21116974477017741 0.5921908716071485 0.5964015749649668 26.62275 25.72953 25.19701 1.4257400000000011
500.0 53.06744 -27.91036 0.19121333165006305 0.4708077550497841 0.4958262828374027 26.22631 25.49896 25.10707 1.1192400000000013
502.0 53.03899 -27.91024 0.4089511857020274 0.6838385374799248 0.7160651530834083 24.90959 23.7089 23.29656 1.613030000000002
510.0 53.03452 -27.9102 0.1858394229742318 0.47995492061668177 0.5296510878047097 25.3736 24.36842 24.29184 1.0817599999999992
514.0 53.10948 -27.91021 0.2707415976516655 0.608768495463691 0.7376067253751513 26.0388 25.19523 24.57414 1.4646599999999985
515.0 53.10628 -27.91024 0.10609504530701856 0.36782466286957194 0.41689706853167485 24.89858 24.17731 23.82733 1.0712499999999991
517.0 53.06251 -27.91019 0.24356410951890128 0.5897608527374416 0.6865965707945766 25.61011 24.44288 23.96715 1.6429599999999986
519.0 53.10889 -27.91013 0.21586352100033174 0.5205224388094178 0.5317895327517099 23.32939 22.06997 21.52594 1.8034500000000016
525.0 53.11041 -27.91017 0.10317385202129678 0.30377032233816886 0.8220746499219712 26.34918 25.93408 25.10041 1.2487700000000004
530.0 53.03684 -27.90993 0.2295299922093924 0.567735562541335 0.6080204500246926 23.82315 23.12046 23.01384 0.80931
531.0 53.11182 -27.90998 0.19382799280083005 0.5010205354562323 0.536950114325874 23.37778 22.12462 21.62331 1.7544700000000013
535.0 53.07293 -27.90999 0.23611862957263172 0.5133281862951067 0.6822030573088551 25.42394 24.84528 24.69831 0.7256300000000024
540.0 53.1024 -27.90999 0.10648005646362058 0.47782057889856516 0.5027341367653663 24.98432 24.84896 24.26616 0.718160000000001
542.0 53.12153 -27.90994 0.17255607930080297 0.4570551821109182 0.5030545975061701 24.5386 23.57603 23.14394 1.3946599999999982
545.0 53.07634 -27.90992 0.09001990691584166 0.3047431989429807 0.34177278621656415 26.32191 23.2177 22.15326 4.1686499999999995
549.0 53.11651 -27.90984 0.21700765951632656 0.5780116071778172 0.6063776239483238 24.57838 23.52739 23.03193 1.54645
558.0 53.09988 -27.90985 0.5921132869434484 0.9570496184324505 0.9211573179832008 25.43653 24.18673 23.6985 1.738030000000002
562.0 53.11344 -27.90982 0.13730844026612618 0.4804200925665118 0.4762025581721614 25.46231 24.70869 24.23163 1.2306799999999996
566.0 53.07673 -27.90971 0.2229209490512985 0.4711065351087904 0.47607692026732135 24.91522 24.38589 23.94728 0.9679400000000022
570.0 53.06462 -27.9097 0.19604142862999097 0.4676132078008129 0.4848734073719694 25.541 24.4063 24.20845 1.3325500000000012
573.0 53.06488 -27.90958 0.24817762382656888 0.6080752944354334 0.6362089804552497 22.89459 21.8548 21.7714 1.123190000000001
574.0 53.10335 -27.90954 0.20824284425160552 0.5196568539133646 0.5437800055436696 22.36119 21.10264 20.68814 1.67305
577.0 53.12116 -27.90965 0.1334370411593687 0.3945672070770625 0.41940454493807955 25.78226 24.7101 24.23731 1.54495
578.0 53.0991 -27.90966 0.17229725808538485 0.4306182160521332 0.4531763676657058 25.65582 24.84989 24.4487 1.2071199999999997
579.0 53.072 -27.9096 0.13631117756868555 0.4119608294372161 0.44925671008379153 24.09136 22.88723 22.48203 1.60933
581.0 53.10399 -27.90955 0.41587965494312906 0.8683122064885468 0.9292040986126328 23.84747 22.64344 22.36874 1.4787300000000023
584.0 53.10446 -27.90956 0.10609882041192885 0.33869593833878775 0.40594879349816354 25.68913 24.59535 24.01911 1.6700199999999974
